movie_id	title	tagline	released	id	name	genre
				5064	Meryl Streep
				4135	Robert Redford
				10647	Klaus Maria Brandauer
				10648	Michael Kitchen
				10649	Malick Bowens
				10650	Joseph Thiaka
				10651	Stephen Kinyanjui
				3796	Michael Gough
				10652	Suzanna Hamilton
				10653	Rachel Kempson
				10654	Graham Crowden
				10655	Leslie Phillips
				10656	Mike Bugara
				10657	Shane Rimmer
				10658	Job Seda
				1154526	Mohammed Umar
				2124	Iman
				2176	Tommy Lee Jones
				9625	Linda Fiorentino
				9626	Rip Torn
				4252	Tony Shalhoub
				9628	Mike Nussbaum
				9629	Jon Gries
				9630	Sergio Calderón
				9631	Carel Struycken
				9632	Fredric Lehne
				9633	Richard Hamilton
				9634	Kent Faulcon
				6751	Siobhan Fallon
				443770	John Alexander
				6684	Lara Flynn Boyle
				9656	Johnny Knoxville
				5916	Rosario Dawson
				9657	Patrick Warburton
				1240	Jack Kehler
				212	David Cross
				9658	Colombe Jacobsen-Derstine
				9659	Peter Spellos
				120724	Jaden Smith
				8977	Craig T. Nelson
				10080	JoBeth Williams
				10083	Beatrice Straight
				10084	Dominique Dunne
				10085	Oliver Robins
				10086	Heather ORourke
				10087	Michael McManus
				10088	Virginia Kiser
				10089	Martin Casella
				10090	Richard Lawson
				10091	Zelda Rubinstein
				2851	Lou Perryman
				31	Tom Hanks
				32	Robin Wright
				33	Gary Sinise
				34	Mykelti Williamson
				35	Sally Field
				37821	Michael Conner Humphreys
				37822	Peter Dobson
				37823	Sonny Shroyer
				37824	Jed Gillin
				37825	Afemo Omilami
				37826	Steven Griffith
				37827	John William Galt
				37828	Nora Dunfee
				37829	Michael Mattison
				9640	Haley Joel Osment
				37830	Kitty K. Green
				37831	Marlena Smalls
				37832	Kevin Mangan
				36221	Sam Anderson
				204997	Hanna Hall
				9828	Garrett Hedlund
				1229	Jeff Bridges
				59315	Olivia Wilde
				2547	Bruce Boxleitner
				60033	Yaya DaCosta
				86268	Serinda Swan
				20403	Beau Garrett
				130108	Elizabeth Mathis
				22063	James Frain
				86269	Amy Esterle
				58371	Brandon Jay McLaren
				3968	Michael Sheen
				109205	Owen Best
				37980	Michael Teigen
				67931	Daft Punk
				10874	Ron Selmour
				43263	Conrad Coates
				145110	Kis Yurij
				2	Mark Hamill
				4	Carrie Fisher
				3	Harrison Ford
				5	Peter Cushing
				6	Anthony Daniels
				130	Kenny Baker
				12248	Alec Guinness
				24343	Peter Mayhew
				24342	David Prowse
				15152	James Earl Jones
				33032	Phil Brown
				131625	Shelagh Fraser
				81024	Roger Lloyd-Pack
				663	William Hootkins
				166258	Malcolm Tierney
				524	Natalie Portman
				3061	Ewan McGregor
				3896	Liam Neeson
				27762	Ian McDiarmid
				33196	Jake Lloyd
				33190	Pernilla August
				7908	Frank Oz
				31923	Oliver Ford Davies
				11007	Ray Park
				31925	Hugh Quarshie
				33197	Ahmed Best
				33198	Andrew Secombe
				25441	Steve Speirs
				2231	Samuel L. Jackson
				116	Keira Knightley
				1769	Sofia Coppola
				11184	Warwick Davis
				3799	Billy Dee Williams
				28235	Sebastian Shaw
				17244	Hayden Christensen
				113	Christopher Lee
				9827	Rose Byrne
				33186	Alan Ruscoe
				33187	Veronica Segura
				20806	Silas Carson
				33188	Ron Falk
				33182	Jay Lagaaia
				33181	Jimmy Smits
				33189	Daniel Logan
				7242	Temuera Morrison
				33191	Ayesha Dharker
				33192	Joel Edgerton
				12536	Jack Thompson
				131634	Bonnie Piesse
				1748	William Shatner
				1749	Leonard Nimoy
				1750	DeForest Kelley
				1751	James Doohan
				1752	George Takei
				1754	Walter Koenig
				1753	Nichelle Nichols
				2021	Jane Wyatt
				2022	Catherine Hicks
				1820	Mark Lenard
				1819	Robin Curtis
				2387	Patrick Stewart
				2388	Jonathan Frakes
				2390	LeVar Burton
				2391	Michael Dorn
				2392	Gates McFadden
				2393	Marina Sirtis
				56890	Malcolm McDowell
				2394	Alan Ruck
				2395	Whoopi Goldberg
				1164	F. Murray Abraham
				2516	Anthony Zerbe
				2517	Donna Murphy
				2518	Gregg Henry
				1795	Merritt Butrick
				1062	Christopher Lloyd
				1829	Carl Steven
				1830	Vadia Potenza
				1831	Stephen Manley
				1832	Joe W. Davis
				3362	Judith Anderson
				1755	Majel Barrett
				1756	Stephen Collins
				1757	Persis Khambatta
				1759	Grace Lee Whitney
				168423	Billy Van Zandt
				44054	Roger Aaron Brown
				178145	Gary Faga
				72658	Franklyn Seales
				2524	Tom Hardy
				2372	Ron Perlman
				2525	Shannon Cochran
				2133	Dina Meyer
				1793	Ricardo Montalban
				1794	Bibi Besch
				1796	Kirstie Alley
				1818	Paul Winfield
				85	Johnny Depp
				1813	Anne Hathaway
				1283	Helena Bonham Carter
				1064	Crispin Glover
				76070	Mia Wasikowska
				20982	Marton Csokas
				26209	Matt Lucas
				30083	Lindsay Duncan
				11276	Tim Pigott-Smith
				47468	Frances de la Tour
				4566	Alan Rickman
				11275	Stephen Fry
				9191	Timothy Spall
				34900	Paul Whitehouse
				40942	Barbara Windsor
				11356	Imelda Staunton
				114	Orlando Bloom
				1709	Jack Davenport
				2440	Bill Nighy
				1640	Stellan Skarsgård
				2441	Tom Hollander
				378	Jonathan Pryce
				2038	Naomie Harris
				118	Geoffrey Rush
				2449	Kevin McNally
				1710	Lee Arenberg
				1711	Mackenzie Crook
				1715	David Bailie
				2451	Alex Norton
				2450	Lauren Maher
				2452	Vanessa Branch
				82636	Luke de Woolfson
				1619	Chow Yun-Fat
				4030	Martin Klebba
				4031	Greg Ellis
				1430	Keith Richards
				1281	Freddie Highmore
				1285	AnnaSophia Robb
				1286	Julia Winter
				1282	David Kelly
				1284	Noah Taylor
				1290	Jordan Fry
				1291	Philip Wiegratz
				1292	James Fox
				1293	Franziska Troegner
				1294	Missi Pyle
				1295	Deep Roy
				184997	Oscar James
				7320	Liz Smith
				1712	Damian OHare
				1713	Giles New
				1714	Angus Barnett
				1716	Michael Berry Jr.
				1717	Isaac C. Singleton Jr.
				82143	Lucinda Dryzek
				1137	Juliette Binoche
				658	Alfred Molina
				5309	Judi Dench
				5310	Antonio Gil
				5311	Hélène Cardona
				5312	Hugh OConor
				5313	Lena Olin
				53	Peter Stormare
				5314	Aurelien Parent Koenig
				5315	Victoire Thivisol
				5316	Harrison Pratt
				5317	Gaelan Connell
				5318	Elisabeth Commelin
				5319	Ron Cook
				5320	Leslie Caron
				5321	John Wood
				2169	Michael Jeter
				42362	Eddie Deezen
				23791	Chris Coppola
				42363	Peter Scolari
				12826	Charles Fleischer
				37935	Steven Tyler
				42287	Leslie Zemeckis
				42286	Julene Renee
				1080274	Andy Pellick
				2053	Bill Paxton
				4724	Kevin Bacon
				228	Ed Harris
				8183	Kathleen Quinlan
				8184	Mary Kate Schellhardt
				8185	Emily Ann Lloyd
				8186	Miko Hughes
				8187	Max Elliott Slade
				8188	Jean Speegle Howard
				8189	Tracy Reiner
				7219	David Andrews
				8190	Michele Little
				8191	Chris Ellis
				8192	Joe Spano
				3982	Xander Berkeley
				102429	Roger Corman
				10362	Roberta Maxwell
				59329	Buzz Kilman
				3131	Antonio Banderas
				5292	Denzel Washington
				568363	Karen Finley
				91428	Daniel Chapman
				568364	Mark Sorensen Jr.
				568365	Jeffrey Williamson
				568366	Charles Glenn
				32592	Ron Vawter
				63279	Anna Deavere Smith
				58539	Stephanie Roth Haberle
				568367	Lisa Talerico
